discomfort,ev_lmt_bef,ev_lmt_aft,ev_lmt_fnl,ev_deviation,ev_deviation_per,,ev_mean,ev_median,ev_mode,ev_std,ev_.25,ev_.5,ev_.75,ev_fnl,ev_dev,ls_mean,ls_median,ls_mode,ls_std,ls_.25,ls_.5,ls_.75,ls_fnl,ls_dev,omega_mean,omega_median,omega_mode,omega_std,omega_.25,omega_.5,omega_.75,omega_fnl,omega_dev,pos_mean,pos_median,pos_mode,pos_std,pos_.25,pos_.5,pos_.75,pos_fnl,pos_dev,lb_mean,lb_median,lb_mode,lb_std,lb_.25,lb_.5,lb_.75,lb_fnl,lb_dev,edir_mean,edir_median,edir_mode,edir_std,edir_.25,edir_.5,edir_.75,edir_fnl,edir_dev,eindir_mean,eindir_median,eindir_mode,eindir_std,eindir_.25,eindir_.5,eindir_.75,eindir_fnl,eindir_dev,log_gc_mean,log_gc_median,log_gc_mode,log_gc_std,log_gc_.25,log_gc_.5,log_gc_.75,log_gc_fnl,log_gc_dev,dgp_mean,dgp_median,dgp_mode,dgp_std,dgp_.25,dgp_.5,dgp_.75,dgp_fnl,dgp_dev,cgi_mean,cgi_median,cgi_mode,cgi_std,cgi_.25,cgi_.5,cgi_.75,cgi_fnl,cgi_dev,dgi_mean,dgi_median,dgi_mode,dgi_std,dgi_.25,dgi_.5,dgi_.75,dgi_fnl,dgi_dev,dgi_mod_mean,dgi_mod_median,dgi_mod_mode,dgi_mod_std,dgi_mod_.25,dgi_mod_.5,dgi_mod_.75,dgi_mod_fnl,dgi_mod_dev,av_lum_mean,av_lum_median,av_lum_mode,av_lum_std,av_lum_.25,av_lum_.5,av_lum_.75,av_lum_fnl,av_lum_dev,med_lum_mean,med_lum_median,med_lum_mode,med_lum_std,med_lum_.25,med_lum_.5,med_lum_.75,med_lum_fnl,med_lum_dev,ugr_mean,ugr_median,ugr_mode,ugr_std,ugr_.25,ugr_.5,ugr_.75,ugr_fnl,ugr_dev,ugp_mean,ugp_median,ugp_mode,ugp_std,ugp_.25,ugp_.5,ugp_.75,ugp_fnl,ugp_dev,ugr_exp_mean,ugr_exp_median,ugr_exp_mode,ugr_exp_std,ugr_exp_.25,ugr_exp_.5,ugr_exp_.75,ugr_exp_fnl,ugr_exp_dev,av_lum_cie_mean,av_lum_cie_median,av_lum_cie_mode,av_lum_cie_std,av_lum_cie_.25,av_lum_cie_.5,av_lum_cie_.75,av_lum_cie_fnl,av_lum_cie_dev
No,380,353,366.5,-27,0.071052632,,474.8226934,477.304509,445.442425,8.098781874,476.359731,477.304509,478.016424,448.414016,0.071367545,8117.4204,8114.193233,8030.504638,32.1241746,8103.062377,8114.193233,8135.984814,8072.9331,0.023083738,0.052421806,0.052410549,0.052410549,4.51E-05,0.052395313,0.052410549,0.052452749,0.052476166,0.005993929,2.938551,2.938551,2.938551,2.68E-15,2.938551,2.938551,2.938551,2.938551,0,40.85507986,41.779511,32.756866,2.405111389,41.033303,41.779511,41.888192,32.939166,0.249086308,346.4726728,346.447482,342.311349,1.530675236,345.812195,346.447482,347.393155,344.932573,0.026218847,128.3500187,131.2542048,102.9087296,7.55588027,128.9099233,131.2542048,131.5956363,103.4814419,0.249086308,0.695021662,0.690800803,0.683647926,0.010395685,0.690360054,0.690800803,0.694698987,0.728867086,0.066016077,0.251675081,0.251481136,0.250793048,0.000507491,0.251412707,0.251481136,0.251733548,0.253231901,0.010427057,27.64223885,27.62260127,27.53064006,0.054511205,27.61208623,27.62260127,27.65354964,27.79966561,0.010771017,19.28261042,19.25826684,19.18960524,0.05979156,19.25213389,19.25826684,19.28809351,19.47067752,0.015456939,18.57262027,18.56561301,18.51985043,0.021187266,18.56056088,18.56561301,18.57944066,18.62569026,0.006558471,99.63149359,100.072101,94.152937,1.431203977,99.916042,100.072101,100.202005,95.038944,0.063160069,12.62081506,12.629639,12.629639,0.27946383,12.542236,12.629639,12.717041,12.0547825,0.111787234,27.11681404,27.02756724,26.86231819,0.216019194,27.0161937,27.02756724,27.11614134,27.82383581,0.036582863,0.641108042,0.63968512,0.637019744,0.003437912,0.639502092,0.63968512,0.641108368,0.65234337,0.024648685,18.09251431,18.02575245,17.89605299,0.160870525,18.01567915,18.02575245,18.09515156,18.62028338,0.041890278,151.1407575,151.9307439,141.7887276,2.577922337,151.6300118,151.9307439,152.1573535,142.7346144,0.071367545
No,655,680,667.5,25,0.038167939,,847.0351383,850.655795,823.206699,8.902553169,849.0162745,850.655795,851.6415365,829.954675,0.038616253,8166.083808,8164.570536,8141.45529,14.24851696,8155.588286,8164.570536,8176.863048,8165.490333,0.006342816,0.115606092,0.115606379,0.115508521,8.16E-05,0.115551329,0.115606379,0.115655173,0.115581392,0.003623602,3.94285,3.94285,3.94285,4.03E-15,3.94285,3.94285,3.94285,3.94285,0,60.97690003,62.212866,53.858206,2.655196446,61.364815,62.212866,62.3035845,55.5881165,0.153683903,655.4705542,655.338173,653.013571,1.295732068,654.497321,655.338173,656.610257,655.3194545,0.00704985,191.5645812,195.4474828,169.2005443,8.341545647,192.783252,195.4474828,195.7324834,174.6352184,0.153683903,0.42499004,0.422550817,0.420956738,0.00493491,0.422354209,0.422550817,0.424250506,0.435248657,0.040299445,0.248735048,0.248737018,0.248495238,0.000116764,0.248668661,0.248737018,0.248809669,0.248674166,0.001766186,27.45862025,27.44581292,27.42490481,0.031819857,27.43724627,27.44581292,27.46221951,27.52750794,0.004608809,18.28653468,18.26654323,18.25157738,0.043269952,18.26097688,18.26654323,18.2807866,18.37827881,0.008096399,17.43249953,17.42810403,17.41726129,0.012643924,17.4233837,17.42810403,17.43553937,17.45972207,0.003066076,205.1756646,205.333551,200.830777,1.308149707,204.9116135,205.333551,205.5828965,203.273048,0.03315131,28.80555476,28.534049,27.934963,0.711683716,28.3195625,28.534049,29.4057835,30.0016345,0.090668589,26.46868926,26.39580668,26.34870445,0.151832014,26.38569661,26.39580668,26.44481357,26.78555972,0.020001074,0.630612693,0.629424701,0.628652099,0.00247515,0.629258957,0.629424701,0.630227414,0.635777217,0.013673798,19.43488508,19.37832923,19.34316292,0.117844277,19.36900377,19.37832923,19.41657655,19.68140445,0.021193076,269.6196585,270.7721493,262.0348307,2.833770686,270.2502737,270.7721493,271.0859206,264.1827781,0.038616253
No,1045,1069,1057,24,0.022966507,,1276.841362,1280.706294,1255.148426,9.843705625,1270.452177,1280.706294,1281.695209,1282.440044,0.03674204,11615.85217,11615.95722,11596.06725,10.3987594,11610.31057,11615.95722,11621.74722,11607.27544,0.003553823,0.12660759,0.126620654,0.12635153,0.000111017,0.126546553,0.126620654,0.126653087,0.126527469,0.003905243,3.905014,3.905014,3.905014,2.70E-15,3.905014,3.905014,3.905014,3.905014,0,81.22761488,82.340433,74.001298,3.298497993,79.4908365,82.340433,82.9152505,83.47682048,0.191737832,1021.659271,1021.735445,1020.124426,1.02446632,1020.692159,1021.735445,1022.433797,1020.216049,0.003171891,255.1840782,258.6800994,232.4819342,10.36253706,249.727828,258.6800994,260.4859418,262.250166,0.191737832,0.437961256,0.436525858,0.427247474,0.004149667,0.435885992,0.436525858,0.43992884,0.435111133,0.045290902,0.275155431,0.275228105,0.274705937,0.000201926,0.274966049,0.275228105,0.275275222,0.275222433,0.003439623,29.82055313,29.81341489,29.7417381,0.030481739,29.8040079,29.81341489,29.82822964,29.79466095,0.004860326,19.5005246,19.48801782,19.39916793,0.039923309,19.47798448,19.48801782,19.51693759,19.47035794,0.009649761,18.61464088,18.61227717,18.58312049,0.011808343,18.60824612,18.61227717,18.6168575,18.60433836,0.00306944,310.6315398,310.315206,305.906129,2.74610302,309.658404,310.315206,311.030911,312.7020915,0.054811987,45.57563789,45.161326,41.753042,3.181859079,44.445008,45.161326,45.8752545,48.2035225,0.415170272,28.30324876,28.2532147,27.95203228,0.145060783,28.22382846,28.2532147,28.36799584,28.19904103,0.02379473,0.659810915,0.659041354,0.654352739,0.002240802,0.658585844,0.659041354,0.660816476,0.658199778,0.015796231,21.47111743,21.43172278,21.1936004,0.117698577,21.40437241,21.43172278,21.5232971,21.38474053,0.025240255,406.4312286,407.6614747,399.5261526,3.133348817,404.3974877,407.6614747,407.9762559,408.2133443,0.03674204
Yes,535,560,547.5,25,0.046728972,,690.8721665,693.5916475,671.07573,7.163208062,687.7131498,693.5916475,696.0867953,678.485838,0.040037222,11169.56119,11168.79926,11079.15977,53.57652403,11121.33668,11168.79926,11206.22121,11164.88063,0.016063754,0.058107595,0.058109971,0.057940299,7.14E-05,0.058058537,0.058109971,0.058157397,0.058110615,0.005611168,2.910938,2.910938,2.910938,2.69E-15,2.910938,2.910938,2.910938,2.910938,0,51.41759666,52.46145865,43.70403773,2.256494666,51.39633039,52.46145865,52.55986074,47.52723769,0.174234482,529.3718661,529.276863,524.325135,2.913815293,526.9062588,529.276863,531.572621,529.2101885,0.019135584,161.5331439,164.8125331,137.3002839,7.088987064,161.466334,164.8125331,165.1216724,149.3112208,0.174234482,0.71549092,0.712691974,0.71164064,0.007015914,0.71234828,0.712691974,0.714223805,0.727105447,0.040274417,0.266236263,0.266175839,0.265813078,0.000354472,0.26602561,0.266175839,0.266335258,0.266575399,0.005833109,29.65988077,29.64805124,29.60357635,0.051466954,29.62980565,29.64805124,29.67226928,29.71921992,0.007731702,20.45215954,20.43839777,20.41227331,0.047877281,20.42936551,20.43839777,20.44886468,20.52155814,0.010261764,19.68240387,19.67866312,19.6557749,0.022101016,19.66919289,19.67866312,19.68857659,19.70334663,0.004902653,145.1980018,145.6142435,141.735289,1.291674906,144.5461778,145.6142435,146.2019065,143.123331,0.034045758,19.03031171,19.145955,17.065409,0.481829282,19.0172155,19.145955,19.26506175,18.1374955,0.128656327,28.95600679,28.89940038,28.85177026,0.171967572,28.88062028,28.89940038,28.91833241,29.23086082,0.024958481,0.66980119,0.668950195,0.668226855,0.002584665,0.668665123,0.668950195,0.669237396,0.673931449,0.016205397,20.12603452,20.08196439,20.03258362,0.136383041,20.06567629,20.08196439,20.09886044,20.33963732,0.028990676,219.9114407,220.7770784,213.6100392,2.280119943,218.9058944,220.7770784,221.5713086,215.9687499,0.040037222
No,180,216,198,36,0.2,,242.6354182,243.034309,208.745044,13.32277438,236.8968695,243.034309,250.5401865,228.283148,0.234380374,4985.26467,4935.66557,4476.757477,234.4959784,4819.772896,4935.66557,5138.576524,5081.587999,0.193887989,0.042106708,0.042130294,0.040662042,0.000833632,0.041439,0.042130294,0.042829351,0.042096404,0.068762033,3.746317373,3.742271,3.742271,0.010731451,3.742271,3.742271,3.760264,3.742372,0.00955178,29.03864887,29.807604,22.38207,2.264612161,29.6242345,29.807604,30.099459,23.458608,0.28331907,151.4078108,148.577677,135.945954,9.991405927,143.255369,148.577677,159.024034,154.585755,0.232972631,91.22760595,93.64334975,70.31534668,7.114488929,93.06727747,93.64334975,94.56023927,73.69739056,0.28331907,0.554951661,0.548470884,0.526974506,0.019492881,0.54132307,0.548470884,0.560789404,0.60435343,0.160480593,0.225187262,0.224846739,0.222385144,0.001866148,0.223713295,0.224846739,0.226394027,0.228879866,0.03803238,23.22459418,23.16475402,22.82022697,0.302709637,22.99108213,23.16475402,23.4229883,23.58808036,0.051910169,15.74258348,15.70566098,15.44833348,0.226475079,15.55630327,15.70566098,15.88687358,16.06082137,0.059232469,15.28497201,15.23628613,15.02135764,0.184826214,15.13913193,15.23628613,15.41155361,15.44631824,0.046543966,56.38578272,56.315532,49.073794,3.032541113,54.959264,56.315532,58.2643445,53.7049035,0.224845083,7.311875716,7.255625,6.378971,0.443086925,7.053926,7.255625,7.635366,7.135646,0.246537287,22.46344998,22.36630194,21.86553704,0.443640812,22.11797245,22.36630194,22.76137235,23.32381069,0.089501191,0.561419389,0.559695653,0.550549405,0.007989763,0.555172252,0.559695653,0.566841338,0.576849441,0.064311241,12.79928527,12.73677867,12.28931546,0.389949506,12.49649565,12.73677867,13.04760955,13.37894106,0.130582912,77.23325234,77.36022324,66.4456112,4.240770798,75.40661557,77.36022324,79.74941825,72.66478286,0.234380374
No,325,350,337.5,25,0.076923077,,404.5165546,407.351482,368.746421,16.82775114,397.4778695,407.351482,419.336538,397.1666845,0.161350408,7834.741047,7896.750757,7222.055255,238.4912849,7749.503524,7896.750757,7966.035887,8005.902178,0.134489299,0.050644863,0.050271799,0.04804977,0.001604586,0.049531384,0.050271799,0.05233878,0.050848025,0.096950322,3.822040642,3.831424,3.831424,0.020944673,3.813385,3.831424,3.831424,3.8133625,0.018899851,37.76951117,38.387736,31.820172,1.973290415,37.801391,38.387736,38.8530715,32.855348,0.205557439,285.8637066,284.301623,250.168869,16.98803781,277.3864085,284.301623,300.729298,293.948563,0.230058942,118.6564188,120.5986294,99.96601859,6.199274671,118.7565723,120.5986294,122.060524,103.2181199,0.205557439,0.584240841,0.580905379,0.572768928,0.011940674,0.577420488,0.580905379,0.583716919,0.612281337,0.085574399,0.237378431,0.237313898,0.234296209,0.001442353,0.236729401,0.237313898,0.238172192,0.239521111,0.027027392,25.74507773,25.73878796,25.19598376,0.246234412,25.64183924,25.73878796,25.90803597,26.02508654,0.041927033,17.34151425,17.33469119,16.97693676,0.173347431,17.25161725,17.33469119,17.45445719,17.57506657,0.043622077,16.7316591,16.74808121,16.43899243,0.125824093,16.67703678,16.74808121,16.81150921,16.86580187,0.032646929,94.2589373,94.883414,85.764276,3.984313764,92.458992,94.883414,97.8344315,93.317715,0.163285514,12.84108899,12.856705,13.503662,0.650567593,12.4648155,12.856705,13.3725585,12.896628,0.195512312,25.19051799,25.09165823,24.47326753,0.39239985,24.97893423,25.09165823,25.41675635,25.84997568,0.068596426,0.609293013,0.607649515,0.597051579,0.006639314,0.605730501,0.607649515,0.613151433,0.620390949,0.047883432,15.73169551,15.65405765,14.97382076,0.395632017,15.51115585,15.65405765,16.01313136,16.25096285,0.108144383,128.7616184,129.6640039,117.3756313,5.35643955,126.5211354,129.6640039,133.4789657,126.4220821,0.161350408
No,445,420,432.5,-25,0.056179775,,513.5571678,522.588281,430.402096,33.49401631,489.132184,522.588281,543.459637,491.192166,0.232586692,5901.650303,5964.626997,5031.335616,372.7259303,5759.246758,5964.626997,6228.402881,5847.045462,0.21600696,0.106945647,0.107292211,0.104989482,0.001048425,0.106181889,0.107292211,0.107858483,0.106838832,0.030390852,5.349274908,5.335415,5.335415,0.01824662,5.335415,5.335415,5.368073,5.351744,0.015786065,46.45880583,47.254413,36.939536,3.013640377,44.590035,47.254413,48.772748,40.5725145,0.281355811,367.6025226,374.929405,314.35312,25.88532825,355.342648,374.929405,390.313716,363.7298515,0.22233,145.9546431,148.4541167,116.0489749,9.467630468,140.0837264,148.4541167,153.2241068,127.4623135,0.281355811,0.324525973,0.325736858,0.310752605,0.007031922,0.320457494,0.325736858,0.327709577,0.339023895,0.089168129,0.21993729,0.220498688,0.215034311,0.002305302,0.219168835,0.220498688,0.221977314,0.219955374,0.033307422,23.54617067,23.63741266,22.75887135,0.368419269,23.41933026,23.63741266,23.85667829,23.62199503,0.050749628,15.11405401,15.19012829,14.64935721,0.220770735,15.01896167,15.19012829,15.28863916,15.22464868,0.049160434,14.45754492,14.49867581,14.01409338,0.21277603,14.3826047,14.49867581,14.64295427,14.47793425,0.046091154,144.7223845,147.492834,122.381658,9.293288366,138.974165,147.492834,152.953067,140.544184,0.223340267,22.00227734,22.474355,18.546368,1.488110581,21.41952,22.474355,23.241163,22.007371,0.245897909,22.75645497,22.91088478,21.98942346,0.358160757,22.57708909,22.91088478,23.00752056,23.16228152,0.057623319,0.566727238,0.56952909,0.552821221,0.006472259,0.563516001,0.56952909,0.571261406,0.574027188,0.041770609,15.11222276,15.25239725,14.37074201,0.344032661,14.9418692,15.25239725,15.36997944,15.39613119,0.08179611,163.4703236,166.3450162,137.0012422,10.66147652,155.6956098,166.3450162,172.9885752,156.3513225,0.232586692
Yes,767,865,816,98,0.127770535,,895.0408276,897.103101,835.28553,22.28341474,880.7484333,897.103101,912.9983515,882.333216,0.107121139,9471.038233,9481.866958,9024.063927,192.4887232,9323.348751,9481.866958,9630.329256,9514.975816,0.082310684,0.124832883,0.124764579,0.123678709,0.000651379,0.124342715,0.124764579,0.12536028,0.12497779,0.019266833,5.425833,5.425833,5.425833,6.27E-15,5.425833,5.425833,5.425833,5.425833,0,64.51716305,64.9912265,57.316691,2.087985095,64.29110025,64.9912265,65.77220053,59.1877845,0.143337419,692.4234314,692.031456,652.518279,18.05660745,679.2200317,692.031456,707.965278,696.3893035,0.104101249,202.6866455,204.1759597,180.0656954,6.559598637,201.9764482,204.1759597,206.629462,185.943909,0.143337419,0.332239371,0.331414664,0.328628065,0.002681284,0.331062157,0.331414664,0.331851615,0.340936057,0.040585945,0.243038471,0.243081335,0.240024761,0.001274741,0.242093147,0.243081335,0.244072077,0.24309089,0.020992253,26.45392746,26.44795017,26.20831423,0.128339212,26.35540083,26.44795017,26.56739564,26.54989111,0.02060866,16.68210927,16.67539035,16.55274785,0.068411121,16.62982457,16.67539035,16.73563326,16.77714394,0.020071438,15.91745939,15.91666869,15.78839921,0.063046203,15.86723676,15.91666869,15.97435321,15.95597488,0.016721226,252.2174876,252.4002355,237.929351,5.950212036,248.0985808,252.4002355,257.2209435,250.567505,0.097637342,38.57716443,38.4401475,36.892925,0.97710657,37.79677775,38.4401475,39.14542925,38.5649625,0.123700875,25.34806437,25.33734462,25.0817498,0.135131012,25.24829278,25.33734462,25.43541651,25.68030339,0.031494082,0.611988806,0.611811952,0.607481067,0.002277065,0.610306421,0.611811952,0.613465764,0.617566701,0.021940074,17.99054555,17.9891343,17.73320586,0.132404198,17.88986688,17.9891343,18.07373057,18.25691303,0.041020904,284.900344,285.556786,265.879642,7.093031209,280.3509335,285.556786,290.6164014,280.8553856,0.107121139
Yes,583,473,528,-110,0.188679245,,681.2901493,691.151243,564.648287,40.76716496,651.504603,691.151243,709.556576,631.7312655,0.281816557,6385.730604,6478.719246,5502.327922,367.7693489,6075.395688,6478.719246,6654.869889,6118.338735,0.243438374,0.120680861,0.120939503,0.11850856,0.000878865,0.120159762,0.120939503,0.121254922,0.119848782,0.030403432,4.327439082,4.328569,4.328569,0.006778853,4.328569,4.328569,4.328569,4.328569,0.009530348,53.81628166,54.827477,41.984502,3.20662223,51.952801,54.827477,56.18367,45.7063295,0.309088467,512.2213117,520.746459,432.750082,33.22723462,485.667466,520.746459,536.794183,488.140595,0.272814922,169.0688351,172.245599,131.898203,10.07390084,163.214538,172.245599,176.5062049,143.590669,0.309088467,0.365915006,0.365080986,0.356626577,0.005702092,0.362628293,0.365080986,0.367559497,0.378032781,0.073536122,0.233582729,0.234250713,0.227525982,0.002600047,0.231423383,0.234250713,0.23553915,0.231786035,0.046257841,25.54154194,25.61873693,24.77100016,0.335651011,25.24957487,25.61873693,25.84218562,25.38308289,0.052694017,16.94229809,16.97264034,16.50689652,0.187230851,16.7918085,16.97264034,17.09538425,16.93508147,0.043495391,16.13133948,16.17385144,15.71750576,0.177117845,15.97807726,16.17385144,16.28786047,16.02956255,0.044568608,171.3586616,174.263391,143.668982,9.891804403,163.909727,174.263391,177.755646,160.6198255,0.270214377,25.07176774,25.280058,20.317821,1.365934071,24.050213,25.280058,26.02656,23.558397,0.288185822,24.68773778,24.73290713,23.98339854,0.323279509,24.44161436,24.73290713,24.89553221,24.91334561,0.057449439,0.600723519,0.601522216,0.588535361,0.005554239,0.596504499,0.601522216,0.604306989,0.604563994,0.040554849,17.75150368,17.79532017,17.06260636,0.311208464,17.47905781,17.79532017,17.98203881,17.86181711,0.072730808,216.8613899,220.0002735,179.733132,12.97659164,207.380356,220.0002735,225.8588729,201.0863072,0.281816557
Yes,255,323,289,68,0.266666667,,390.622022,389.345561,322.600441,28.01722164,375.004236,389.345561,413.202977,383.5811405,0.292737548,6401.637303,6336.319978,5541.704703,440.1711962,6037.487878,6336.319978,6796.643477,6570.249753,0.250196322,0.053429956,0.053389181,0.052949133,0.000254043,0.05327228,0.053389181,0.053606695,0.053427986,0.018885851,3.100259014,3.098424,3.098424,0.004165899,3.098424,3.098424,3.098424,3.1040055,0.003600667,38.39730626,39.10641972,28.38639262,3.459393838,38.18896814,39.10641972,40.68110529,34.04062336,0.35742447,273.9613617,271.110051,235.237053,19.9131803,257.799354,271.110051,291.541586,281.339384,0.265850234,120.6286953,122.8564409,89.17848251,10.86800627,119.9741817,122.8564409,127.8034615,106.9417723,0.35742447,0.62784089,0.626697715,0.606403304,0.01458444,0.615530039,0.626697715,0.633238874,0.65541383,0.102348687,0.240565306,0.240162008,0.236784957,0.002071268,0.238747745,0.240162008,0.242552677,0.242683203,0.032872349,26.04438344,26.00734415,25.44619644,0.346694465,25.71727167,26.00734415,26.38792401,26.31650091,0.045158992,18.12654559,18.09201152,17.73697479,0.210608915,17.94440667,18.09201152,18.32322178,18.35091658,0.045138221,17.50260807,17.49218428,17.14302749,0.202336082,17.31764463,17.49218428,17.69540693,17.63096691,0.03992907,85.00594956,84.655792,70.841932,5.944134325,81.396501,84.655792,89.637534,84.220293,0.280749349,11.33533158,11.306006,9.134598,0.853468002,10.773074,11.306006,11.968086,11.4660245,0.314814699,25.36899791,25.3800664,24.66780525,0.381697597,25.0405809,25.3800664,25.68422838,25.95653282,0.06799812,0.612313121,0.612532925,0.600404084,0.006425186,0.606780699,0.612532925,0.61764162,0.622149423,0.04731589,16.49105647,16.449654,15.87716569,0.333205043,16.21544585,16.449654,16.78209381,16.92770179,0.086056865,124.3388514,123.9325412,102.6869097,8.918158633,119.3675557,123.9325412,131.5265926,122.0976692,0.292737548
