discomfort,Glare_diagram,describe,Experiment,participant,ev,edir,eindir,log_gc,dgp,cgi,dgi,dgi_mod,av_lum,med_lum,ugr,ugp,ugr_exp,av_lum_cie,,,,,,,,,,
No,1,Noticeable,1,1,450.473897,346.917678,103.5562181,0.726827896,0.253165619,27.80164481,19.46377122,18.61642785,95.433128,11.952763,27.83110194,0.652457678,18.63152294,143.3902949,,,,,,,,,,
No,0,Noticeable,1,1,833.256133,657.510459,175.7456725,0.435056961,0.248850364,27.54369786,18.38417537,17.46848815,204.309533,30.529128,26.78688862,0.635798753,19.686545,265.2336649,,,,,,,,,,
No,0,Imperceptible,1,1,1288.321942,1020.307671,268.0491344,0.427351914,0.274855404,29.71017951,19.38093099,18.53011005,315.893507,52.574708,28.0534467,0.655936458,21.25752768,410.0856107,,,,,,,,,,
Yes,1,Noticeable,1,1,683.645934,524.325135,159.3744539,0.709476225,0.265259934,29.5516362,20.36740212,19.59358927,143.60403,18.978856,28.87167289,0.668529245,20.03354912,217.6112594,,,,,,,,,,
No,0,Noticeable,1,2,247.821252,171.21983,76.60141911,0.612780253,0.230800335,24.02545787,16.37604429,15.73278085,58.336013,7.710732,23.83399261,0.585917102,13.93945797,78.88395452,,,,,,,,,,
No,1,Noticeable,1,2,415.411754,312.250394,103.1613576,0.621434201,0.24143233,26.3407406,17.82363793,17.0807291,97.926763,13.328857,26.24715413,0.626982832,16.72984437,132.2296681,,,,,,,,,,
No,1,Noticeable,1,2,493.252148,366.855875,126.3962721,0.341221188,0.220278006,23.67962295,15.29454213,14.53360886,141.094922,22.285153,23.25096465,0.575608284,15.5229023,157.0070351,,,,,,,,,,
Yes,1,Noticeable,1,2,912.784324,724.600423,188.1838975,0.354246037,0.246100226,26.92953619,17.06362374,16.23060062,258.493728,38.953463,26.05610579,0.623829225,18.64723627,290.5482743,,,,,,,,,,
Yes,1,Disturbing,1,3,564.648287,432.750082,131.898203,0.379346494,0.227968863,24.88413373,16.69816108,15.79185612,143.668982,20.317821,24.52256357,0.597902704,17.45169688,179.733132,,,,,,,,,,
Yes,1,Disturbing,1,3,391.88681,292.524845,104.0289942,0.666971682,0.244231756,26.55041828,18.51034437,17.75270842,86.206954,11.745195,26.31060428,0.628026387,17.22520401,124.7414459,,,,,,,,,,
Yes,1,Noticeable,1,3,390.072892,298.574405,100.601674,0.635608752,0.241246162,26.23978346,18.29685908,17.49435401,86.843557,11.942163,26.07382399,0.62412242,17.25006186,124.1640579,,,,,,,,,,
Yes,1,Noticeable,1,3,937.338048,753.090749,184.2472966,0.384714427,0.250338528,27.51529345,18.05826275,17.10169281,239.455638,35.9125,26.72763335,0.634837668,19.88815953,298.3639674,,,,,,,,,,
Yes,0,Noticeable,1,4,315.60514,226.529264,89.07587301,0.673432173,0.240347095,25.65971524,17.91342046,17.18900157,69.010275,8.686531,25.5090013,0.614703733,16.08018269,100.4602362,,,,,,,,,,
No,0,Imperceptible,1,4,982.379071,764.596405,217.7826609,0.389763533,0.253445944,27.75737407,18.11794506,17.28746583,250.318532,39.745909,26.52004407,0.631457476,19.59217574,312.7009703,,,,,,,,,,
No,1,Noticeable,1,4,579.249907,434.595592,144.8215811,0.664600002,0.25501225,28.28025694,19.43429851,18.69896774,125.689481,16.431158,27.67576774,0.650013012,18.76577089,184.380972,,,,,,,,,,
No,0,Imperceptible,1,4,734.489372,571.242712,163.2466576,0.401746929,0.239994894,26.46218386,17.55831002,16.67692287,187.54473,27.465992,25.79244968,0.619448956,18.65285354,233.7952284,,,,,,,,,,
No,1,Noticeable,1,5,465.81423,355.4679,111.6334109,0.685139647,0.250239115,27.52248733,19.06227998,18.2631488,102.267551,13.167976,27.37244517,0.645205446,18.21391113,148.2732745,,,,,,,,,,
Yes,1,Noticeable,1,5,1256.024611,1030.215872,225.8087358,0.39520685,0.270008633,29.23573979,18.86825952,17.90978808,323.461389,47.070099,28.06401658,0.65610123,21.23545753,399.805051,,,,,,,,,,
Yes,1,Noticeable,1,5,838.780743,655.701227,183.0795132,0.392567509,0.245274127,27.00463624,17.7106388,16.84845327,217.655917,33.393326,26.13418038,0.625120068,19.00447055,266.9922028,,,,,,,,,,
Yes,1,Disturbing,1,5,711.549678,554.091774,160.2335999,0.658101589,0.262181692,29.25360728,19.96728496,19.17059641,154.962933,20.881725,28.5944321,0.664299364,19.92520575,226.493297,,,,,,,,,,
No,1,Disturbing,1,6,385.833229,290.88617,95.02345316,0.662524601,0.243468169,26.45076888,18.39530289,17.57998043,84.061825,10.26224,26.4786467,0.630780945,17.28858727,122.8145312,,,,,,,,,,
Yes,1,Disturbing,1,6,298.139948,215.848171,82.84348705,0.65528424,0.237655908,25.25085074,17.6604679,16.90090022,65.372559,8.142744,25.2058169,0.609587034,15.88236352,94.90089291,,,,,,,,,,
Yes,1,Noticeable,1,6,925.849526,739.273103,186.57642,0.390419114,0.250187842,27.51680208,18.04522679,17.11667048,236.286487,36.702983,26.68117423,0.634082956,19.72902984,294.7070572,,,,,,,,,,
Yes,1,Noticeable,1,6,662.810592,517.251945,145.5586459,0.388213367,0.234544969,25.79083481,17.15133125,16.23633102,169.061858,24.474785,25.34245717,0.611898276,18.20488012,210.9791641,,,,,,,,,,
No,0,Imperceptible,1,7,780.024116,616.83141,163.1927039,0.383905121,0.241029906,26.54898314,17.52223843,16.59371842,199.999772,29.869759,25.94457964,0.621980348,18.92989099,248.2893876,,,,,,,,,,
Yes,1,Disturbing,1,7,1177.05673,959.257706,217.7990192,0.393006294,0.265171208,28.84498165,18.69246199,17.74006652,302.120884,46.659536,27.73809661,0.650995364,20.92127096,374.6687938,,,,,,,,,,
No,1,Noticeable,1,7,651.57782,517.945988,138.593029,0.672703993,0.260001845,29.01525548,19.89510347,19.04315219,143.316831,19.020259,28.67549596,0.665540088,19.90332119,207.4036617,,,,,,,,,,
No,1,Imperceptible,1,7,440.451112,315.683442,129.9653401,0.623617158,0.243102535,26.55524309,18.37036636,17.72721461,97.021327,13.039102,25.84787035,0.620372389,17.00915158,140.1999433,,,,,,,,,,
No,0,Imperceptible,1,8,445.60967,323.73883,121.8708393,0.344569948,0.217788809,23.24439892,15.33000643,14.56996883,117.929215,16.186324,22.76676017,0.566938353,15.312785,141.8419633,,,,,,,,,,
No,0,Imperceptible,1,8,285.236626,203.70465,82.23704536,0.627149024,0.23431567,24.76592197,17.1573329,16.43746232,64.096739,7.659347,24.65214007,0.600134749,15.22928807,90.79363796,,,,,,,,,,
No,0,Imperceptible,1,8,841.076547,672.498863,168.5776796,0.367287212,0.243088159,26.71608473,17.34033342,16.41976952,223.731171,29.78054,26.09170802,0.624418209,18.95548482,267.7229799,,,,,,,,,,
No,0,Imperceptible,1,8,545.229342,409.013137,137.9117372,0.625585009,0.249433666,27.5973369,18.81119867,18.0856519,120.753427,14.939541,27.04883867,0.640027264,18.08242833,173.5518898,,,,,,,,,,
No,0,Imperceptible,1,9,695.957108,559.052372,139.3856091,0.656699501,0.261137696,29.188563,19.81785979,18.94995863,155.056494,19.515259,28.92037892,0.669268432,20.07703909,221.5300278,,,,,,,,,,
Yes,1,Noticeable,1,9,817.359584,641.165472,176.1941097,0.36736879,0.241703463,26.53665799,17.23931726,16.3738493,218.198913,32.241983,25.75348232,0.618798815,18.60159104,260.1736362,,,,,,,,,,
Yes,1,Disturbing,1,9,449.845763,339.510999,113.2874518,0.642077764,0.245348685,26.91160426,18.50643685,17.74441798,101.154579,13.284892,26.65468686,0.633652216,17.54339881,143.1903536,,,,,,,,,,
