E_v,lum_sources,omega_sources,position index
323.621117,8257.689588,0.0204591228,1.535490
29.496914,50.427989,165.196916,21.734524
435.079404,8688.951735,0.0079013635,2.888548
435.079404,9621.620512,0.0205252274,1.544336
30.162544,62.660260,238.226390,22.774187
663.684705,10418.524628,0.0428696857,1.708604
31.513693,82.356567,404.953917,22.735662
185.036983,9632.993479,0.0085677879,2.977656
24.246408,41.830646,53.622130,16.251781
164.369414,9066.457481,0.0077976614,2.768656
24.372820,37.334319,47.080189,16.472511
489.482913,9248.475232,0.0082279097,2.773229
489.482913,10357.467924,0.0232398355,1.453783
31.298573,64.547380,286.701337,23.668734
442.630475,11262.039653,0.0235499349,1.450449
31.913673,58.047144,260.269991,23.484104
831.087854,12118.924613,0.0484723039,1.633883
831.087854,4549.505705,0.0004530330,16.000000
32.988640,94.074870,535.542929,23.722483
399.961861,7454.365147,0.0077635082,3.079334
399.961861,8075.393347,0.0222771462,1.500586
29.536116,59.733758,212.302722,22.349222
387.951945,9637.357170,0.0226096787,1.523583
30.584633,55.592722,213.302256,22.495077
755.356819,11121.583791,0.0476019595,1.696065
32.202602,88.283157,478.007097,23.165253
206.104743,9983.893495,0.0088593915,2.980998
24.252691,47.423176,57.120440,16.277031
458.362542,6542.641831,0.0436079808,1.710464
458.362542,4549.668948,0.0004065581,16.000000
29.004574,63.767443,258.031210,21.230043
311.842959,7070.194284,0.0228650703,1.497173
29.076571,48.697674,158.854701,21.556196
502.670332,8897.633693,0.0082500217,2.637089
502.670332,10207.184353,0.0234595756,1.478407
31.038710,68.976411,285.974544,23.455841
170.519300,6804.965742,0.0079614481,2.626459
22.665497,41.796835,39.210669,15.539224
199.688143,9332.134789,0.0077880616,3.000418
23.336073,48.661685,46.812948,15.580198
688.937582,10293.883775,0.0466205331,1.718692
31.652746,81.857459,431.774787,22.835320
519.874080,9281.619242,0.0084742732,3.026685
519.874080,10922.877710,0.0233117453,1.512439
31.217960,69.823049,300.518498,23.443882
444.504585,8767.667887,0.0078883800,2.980380
444.504585,9238.010740,0.0226514443,1.502190
30.358484,62.214655,249.051479,22.951502
663.978889,10008.458356,0.0459732295,1.688052
31.605408,78.668102,416.835754,22.868410
186.149201,9645.676363,0.0084930931,2.891142
24.418249,42.017328,54.147872,16.499365
420.410171,11001.880864,0.0232338714,1.519022
31.515856,54.198716,250.139880,23.142220
169.899891,8518.396948,0.0076887018,2.881514
23.473492,40.354737,43.121745,15.756291
377.998148,9631.047684,0.0225483250,1.509121
30.722874,52.688553,212.472174,22.627359
679.652065,10352.983124,0.0468584345,1.810979
31.374880,80.507360,426.730732,22.529198
518.321536,9304.953773,0.0083920829,2.917185
518.321536,11287.996912,0.0233677946,1.528823
31.429758,66.637424,308.973893,23.594362
